序号,代码,名称,停牌时间,停牌截止时间,停牌期限,停牌原因,所属市场,预计复牌时间
0,002800,ST天顺,2024-06-12,2024-06-12,停牌一天,刊登重要公告,深交所风险警示板,2024-06-13
1,300010,*ST豆神,2024-06-12,2024-06-12,停牌一天,刊登重要公告,深交所风险警示板,2024-06-13
2,900953,凯马B,2024-06-12,,连续停牌,刊登重要公告,上交所主板,
3,002721,*ST金一,2024-06-11,2024-06-11,停牌一天,刊登重要公告,深交所风险警示板,2024-06-12
4,002086,*ST东洋,2024-06-11,2024-06-11,停牌一天,刊登重要公告,深交所主板,2024-06-12
5,002157,*ST正邦,2024-06-11,2024-06-11,停牌一天,刊登重要公告,深交所主板,2024-06-12
6,000637,ST实华,2024-06-11,2024-06-11,停牌一天,刊登重要公告,深交所主板,2024-06-12
7,300220,ST金运,2024-06-11,2024-06-11,停牌一天,刊登重要公告,深交所创业板,2024-06-12
8,000971,*ST高升,2024-06-05,,连续停牌,刊登重要公告,深交所风险警示板,
9,600321,正源股份,2024-05-31,,连续停牌,刊登重要公告,上交所主板,
10,600179,安通控股,2024-05-29,2024-06-12,连续停牌,拟筹划重大资产重组,上交所主板,2024-06-13
11,300116,*ST保力,2024-05-17,,连续停牌,刊登重要公告,深交所风险警示板,
12,600823,*ST世茂,2024-05-16,2024-06-13,连续停牌,刊登重要公告,上交所风险警示板,2024-06-14
13,000961,ST中南,2024-05-09,,连续停牌,刊登重要公告,深交所风险警示板,
14,300495,*ST美尚,2024-05-09,,连续停牌,刊登重要公告,深交所风险警示板,
15,200413,东旭B,2024-05-06,,连续停牌,未如期刊登定期报告,深交所主板,
16,002308,威创股份,2024-05-06,,连续停牌,未如期刊登定期报告,深交所主板,
17,000040,东旭蓝天,2024-05-06,,连续停牌,未如期刊登定期报告,深交所主板,
18,000976,ST华铁,2024-05-06,,连续停牌,未如期刊登定期报告,深交所风险警示板,
19,300282,*ST三盛,2024-05-06,,连续停牌,未如期刊登定期报告,深交所风险警示板,
20,300742,*ST越博,2024-05-06,,连续停牌,刊登重要公告,深交所风险警示板,
21,300630,普利制药,2024-05-06,,连续停牌,未如期刊登定期报告,深交所创业板,
22,000413,东旭光电,2024-05-06,,连续停牌,未如期刊登定期报告,深交所主板,
23,002433,*ST太安,2024-04-30,2024-06-13,连续停牌,刊登重要公告,深交所风险警示板,2024-06-14
24,300799,*ST左江,2024-04-29,,连续停牌,刊登重要公告,深交所风险警示板,
